Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueExoPos,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress_2.rt,keyPress_2.rl,cueOri,Stair2.response,keyPress.rt,keyPress.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,0,1,81,,,,,,,,,,,,-4.6,90,4.6,right,1,0.5546111,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,1,1,80,,,,,,,,,,,,4.6,90,4.6,right,1,0.4510496,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,2,1,79,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.451564,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,3,1,78,,,,,,,,,,,,4.6,90,-4.6,left,1,0.4859703,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,4,1,77,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.5829843,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,5,1,76,,,,,,,,,,,,4.6,90,4.6,right,1,0.4012243,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,6,1,75,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.434913,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,7,1,74,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.468797,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,8,1,73,,,,,,,,,,,,4.6,90,-4.6,left,1,0.8179045,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,9,1,72,,,,,,,,,,,,4.6,0,-4.6,left,1,0.6685019,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,10,1,71,,,,,,,,,,,,-4.6,90,4.6,right,1,0.7013948,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,11,1,70,,,,,,,,,,,,-4.6,90,4.6,right,1,0.6513848,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,12,1,69,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.6010538,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,13,1,68,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.6191129,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,14,1,67,,,,,,,,,,,,4.6,90,4.6,right,1,0.4513176,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,15,1,66,,,,,,,,,,,,4.6,90,4.6,right,1,0.7016023,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,16,1,65,,,,,,,,,,,,4.6,0,4.6,right,1,0.6352688,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,17,1,65,,,,,,,,,,,,4.6,90,4.6,right,1,1.2526244,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,18,1,65,,,,,,,,,,,,4.6,90,-4.6,left,0,1.1015135,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,19,1,66,,,,,,,,,,,,4.6,90,4.6,right,1,0.702119,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,20,1,66,,,,,,,,,,,,4.6,0,4.6,right,1,1.6034411,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,21,1,66,,,,,,,,,,,,4.6,0,-4.6,left,0,1.6868648,right,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,22,1,67,,,,,,,,,,,,-4.6,0,-4.6,left,1,0.5184368,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,23,1,67,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.6853212,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,24,1,67,,,,,,,,,,,,-4.6,90,-4.6,left,1,0.5172037,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
,25,1,66,,,,,,,,,,,,4.6,0,4.6,right,0,0.7685326,left,,,,,,,,,3,3,2019_Mar_31_1518,Flow_exo_post,3.0.5,59.43497546,
